experiment_id,family,eps,budget,job_id,pairing_id,run_type,victim_run_id,victim_seed,attacker_id,source_class,source_class_name,target_index,target_true_class,target_true_class_name,target_adv_class,target_adv_class_name,predicted_class,predicted_class_name,success,adv_confidence,true_confidence,target_loss,clean_accuracy,brew_artifact_path,brew_job_id,brew_loss,source_target_distance,source_target_rank,condition,distance_bucket,symmetric,pair_distance_rank,pair_distance_rank_fraction,source_source_distance,overlap_policy,overlap_seed,overlap_total,overlaps_lost_by_attacker
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,0,0,src5_sel4_to0,5,dog,9589,5,dog,0,airplane,0,airplane,1,0.8350829482078552,0.1466841846704483,0.1802241951227188,0.9199839967993598,artifacts/c1/c1_experiment/brews/brew_src5_sel4_to0.pt,brew_src5_sel4_to0,0.2513507008552551,0.6689342260360718,8,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,29
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,0,0,src2_sel5_to0,2,bird,6137,2,bird,0,airplane,0,airplane,1,0.9943827390670776,0.0030300477519631386,0.005633074790239334,0.9199839967993598,artifacts/c1/c1_experiment/brews/brew_src2_sel5_to0.pt,brew_src2_sel5_to0,0.28827834129333496,0.49285149574279785,1,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,21
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,1,1,src5_sel4_to0,5,dog,9589,5,dog,0,airplane,0,airplane,1,0.9331538677215576,0.052939288318157196,0.06918518990278244,0.9205841168233647,artifacts/c1/c1_experiment/brews/brew_src5_sel4_to0.pt,brew_src5_sel4_to0,0.2513507008552551,0.6689342260360718,8,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,29
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,1,1,src2_sel5_to0,2,bird,6137,2,bird,0,airplane,0,airplane,1,0.8737528920173645,0.09316668659448624,0.1349576711654663,0.9205841168233647,artifacts/c1/c1_experiment/brews/brew_src2_sel5_to0.pt,brew_src2_sel5_to0,0.28827834129333496,0.49285149574279785,1,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,21
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,2,2,src5_sel4_to0,5,dog,9589,5,dog,0,airplane,0,airplane,1,0.9769769906997681,0.01773845963180065,0.02329215034842491,0.9149829965993198,artifacts/c1/c1_experiment/brews/brew_src5_sel4_to0.pt,brew_src5_sel4_to0,0.2513507008552551,0.6689342260360718,8,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,29
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,2,2,src2_sel5_to0,2,bird,6137,2,bird,0,airplane,0,airplane,1,0.629565954208374,0.3520320653915405,0.4627246856689453,0.9149829965993198,artifacts/c1/c1_experiment/brews/brew_src2_sel5_to0.pt,brew_src2_sel5_to0,0.28827834129333496,0.49285149574279785,1,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,21
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,3,3,src5_sel4_to0,5,dog,9589,5,dog,0,airplane,0,airplane,1,0.8727663159370422,0.12460175156593323,0.13608747720718384,0.9218843768753751,artifacts/c1/c1_experiment/brews/brew_src5_sel4_to0.pt,brew_src5_sel4_to0,0.2513507008552551,0.6689342260360718,8,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,29
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,3,3,src2_sel5_to0,2,bird,6137,2,bird,0,airplane,0,airplane,1,0.9801585078239441,0.017284300178289413,0.020040998235344887,0.9218843768753751,artifacts/c1/c1_experiment/brews/brew_src2_sel5_to0.pt,brew_src2_sel5_to0,0.28827834129333496,0.49285149574279785,1,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,21
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,4,4,src5_sel4_to0,5,dog,9589,5,dog,0,airplane,0,airplane,1,0.5597504377365112,0.3934381306171417,0.5802642703056335,0.9236847369473895,artifacts/c1/c1_experiment/brews/brew_src5_sel4_to0.pt,brew_src5_sel4_to0,0.2513507008552551,0.6689342260360718,8,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,29
c1_experiment_eps8,C1,8,0.01,dual_fixed_dog_vs_bird_rep3,fixed_dog_vs_bird_rep3,dual,4,4,src2_sel5_to0,2,bird,6137,2,bird,0,airplane,0,airplane,1,0.9753050804138184,0.01824750006198883,0.025004927068948746,0.9236847369473895,artifacts/c1/c1_experiment/brews/brew_src2_sel5_to0.pt,brew_src2_sel5_to0,0.28827834129333496,0.49285149574279785,1,fixed_dog_vs_bird,fixed_source_sweep,,,,0.5690615177154541,assign_one_owner,2,50,21
