experiment_id,family,eps,budget,job_id,pairing_id,run_type,victim_run_id,victim_seed,attacker_id,source_class,source_class_name,target_index,target_true_class,target_true_class_name,target_adv_class,target_adv_class_name,predicted_class,predicted_class_name,success,adv_confidence,true_confidence,target_loss,clean_accuracy,brew_artifact_path,brew_job_id,brew_loss,source_target_distance,source_target_rank,condition,distance_bucket,symmetric,pair_distance_rank,pair_distance_rank_fraction,source_source_distance,source_pair_label,source_stratum,source_source_rank,motif_label,motif_rank,alignment_type,S,T,G,a_self,b_self,a_cross,b_cross,target_target_distance,cross_alignment_gap,overlap_policy,merge_rule,overlap_seed,overlap_percentage,overlap_fraction,overlap_target_count,overlap_total,effective_unique_poison_count,overlaps_lost_by_attacker
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,0,0,src3_sel5_to0,3,cat,4195,3,cat,0,airplane,0,airplane,1,0.958579421043396,0.03980885073542595,0.04230286926031113,0.9197839567913583,artifacts/c1/c1_layered_experiment/brews/brew_src3_sel5_to0.pt,brew_src3_sel5_to0,0.21101665496826172,0.5680851936340332,3,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,25
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,0,0,src1_sel5_to0,1,automobile,4337,1,automobile,0,airplane,1,automobile,0,0.015211958438158035,0.9838753938674927,4.185673236846924,0.9197839567913583,artifacts/c1/c1_layered_experiment/brews/brew_src1_sel5_to0.pt,brew_src1_sel5_to0,0.2971400022506714,0.6062602996826172,6,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,19
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,1,1,src3_sel5_to0,3,cat,4195,3,cat,0,airplane,0,airplane,1,0.880390465259552,0.11622943729162216,0.12738972902297974,0.9212842568513703,artifacts/c1/c1_layered_experiment/brews/brew_src3_sel5_to0.pt,brew_src3_sel5_to0,0.21101665496826172,0.5680851936340332,3,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,25
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,1,1,src1_sel5_to0,1,automobile,4337,1,automobile,0,airplane,1,automobile,0,0.05455488711595535,0.8902201056480408,2.908547878265381,0.9212842568513703,artifacts/c1/c1_layered_experiment/brews/brew_src1_sel5_to0.pt,brew_src1_sel5_to0,0.2971400022506714,0.6062602996826172,6,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,19
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,2,2,src3_sel5_to0,3,cat,4195,3,cat,0,airplane,0,airplane,1,0.9632595181465149,0.03631221503019333,0.03743242844939232,0.9199839967993598,artifacts/c1/c1_layered_experiment/brews/brew_src3_sel5_to0.pt,brew_src3_sel5_to0,0.21101665496826172,0.5680851936340332,3,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,25
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,2,2,src1_sel5_to0,1,automobile,4337,1,automobile,0,airplane,1,automobile,0,0.024358274415135384,0.9737815260887146,3.71488356590271,0.9199839967993598,artifacts/c1/c1_layered_experiment/brews/brew_src1_sel5_to0.pt,brew_src1_sel5_to0,0.2971400022506714,0.6062602996826172,6,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,19
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,3,3,src3_sel5_to0,3,cat,4195,3,cat,0,airplane,0,airplane,1,0.996366024017334,0.003175333607941866,0.003640573238953948,0.9220844168833767,artifacts/c1/c1_layered_experiment/brews/brew_src3_sel5_to0.pt,brew_src3_sel5_to0,0.21101665496826172,0.5680851936340332,3,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,25
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,3,3,src1_sel5_to0,1,automobile,4337,1,automobile,0,airplane,0,airplane,1,0.7305773496627808,0.24800914525985718,0.31392019987106323,0.9220844168833767,artifacts/c1/c1_layered_experiment/brews/brew_src1_sel5_to0.pt,brew_src1_sel5_to0,0.2971400022506714,0.6062602996826172,6,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,19
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,4,4,src3_sel5_to0,3,cat,4195,3,cat,0,airplane,0,airplane,1,0.9425838589668274,0.048689037561416626,0.059130389243364334,0.9240848169633927,artifacts/c1/c1_layered_experiment/brews/brew_src3_sel5_to0.pt,brew_src3_sel5_to0,0.21101665496826172,0.5680851936340332,3,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,25
c1_layered_experiment,C1,8,0.01,dual_airplane__cat_vs_automobile_rep6,airplane__cat_vs_automobile_rep6,dual,4,4,src1_sel5_to0,1,automobile,4337,1,automobile,0,airplane,1,automobile,0,0.22741878032684326,0.7657102942466736,1.4809621572494507,0.9240848169633927,artifacts/c1/c1_layered_experiment/brews/brew_src1_sel5_to0.pt,brew_src1_sel5_to0,0.2971400022506714,0.6062602996826172,6,airplane__cat_vs_automobile,layered_anchor_partner_sweep,,,,0.6126067638397217,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,5,,,,44,956,19
