experiment_id,family,eps,budget,job_id,pairing_id,run_type,victim_run_id,victim_seed,attacker_id,source_class,source_class_name,target_index,target_true_class,target_true_class_name,target_adv_class,target_adv_class_name,predicted_class,predicted_class_name,success,adv_confidence,true_confidence,target_loss,clean_accuracy,brew_artifact_path,brew_job_id,brew_loss,source_target_distance,source_target_rank,condition,distance_bucket,symmetric,pair_distance_rank,pair_distance_rank_fraction,source_source_distance,source_pair_label,source_stratum,source_source_rank,motif_label,motif_rank,alignment_type,S,T,G,a_self,b_self,a_cross,b_cross,target_target_distance,cross_alignment_gap,overlap_policy,merge_rule,overlap_seed,overlap_percentage,overlap_fraction,overlap_target_count,overlap_total,effective_unique_poison_count,overlaps_lost_by_attacker
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,0,0,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.9807077050209045,0.01909337006509304,0.019480807706713676,0.917383476695339,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,0,0,src4_sel1_to5,4,deer,3581,4,deer,5,dog,5,dog,1,0.978174090385437,0.003933469764888287,0.022067589685320854,0.917383476695339,artifacts/c1/c1_layered_experiment/brews/brew_src4_sel1_to5.pt,brew_src4_sel1_to5,0.20872044563293457,0.5543463230133057,3,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,30
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,1,1,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.9786702990531921,0.021203260868787766,0.02156045101583004,0.9195839167833567,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,1,1,src4_sel1_to5,4,deer,3581,4,deer,5,dog,5,dog,1,0.9978920817375183,0.00109808798879385,0.00211016065441072,0.9195839167833567,artifacts/c1/c1_layered_experiment/brews/brew_src4_sel1_to5.pt,brew_src4_sel1_to5,0.20872044563293457,0.5543463230133057,3,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,30
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,2,2,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.8655661940574646,0.1341513693332672,0.1443714201450348,0.9204840968193638,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,2,2,src4_sel1_to5,4,deer,3581,4,deer,5,dog,5,dog,1,0.997979462146759,0.0006598769687116146,0.0020226037595421076,0.9204840968193638,artifacts/c1/c1_layered_experiment/brews/brew_src4_sel1_to5.pt,brew_src4_sel1_to5,0.20872044563293457,0.5543463230133057,3,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,30
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,3,3,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.992698609828949,0.007206273265182972,0.007328177336603403,0.9215843168633727,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,3,3,src4_sel1_to5,4,deer,3581,4,deer,5,dog,5,dog,1,0.9978390336036682,0.00036665023071691394,0.0021633333526551723,0.9215843168633727,artifacts/c1/c1_layered_experiment/brews/brew_src4_sel1_to5.pt,brew_src4_sel1_to5,0.20872044563293457,0.5543463230133057,3,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,30
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,4,4,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.9666366577148438,0.03300110250711441,0.033932626247406006,0.9218843768753751,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,4,4,src4_sel1_to5,4,deer,3581,4,deer,5,dog,5,dog,1,0.9524611234664917,0.03871149197220802,0.04870598763227463,0.9218843768753751,artifacts/c1/c1_layered_experiment/brews/brew_src4_sel1_to5.pt,brew_src4_sel1_to5,0.20872044563293457,0.5543463230133057,3,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,30
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,5,5,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.9891854524612427,0.010786107741296291,0.010873472318053246,0.9272854570914183,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,5,5,src4_sel1_to5,4,deer,3581,4,deer,5,dog,5,dog,1,0.9743993878364563,0.02328594960272312,0.025934036821126938,0.9272854570914183,artifacts/c1/c1_layered_experiment/brews/brew_src4_sel1_to5.pt,brew_src4_sel1_to5,0.20872044563293457,0.5543463230133057,3,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,30
c1_layered_experiment,C1,8,0.01,dual_dog__horse_vs_deer_rep2,dog__horse_vs_deer_rep2,dual,6,6,src7_sel1_to5,7,horse,9334,7,horse,5,dog,5,dog,1,0.9442169070243835,0.055659566074609756,0.05739937350153923,0.9290858171634326,artifacts/c1/c1_layered_experiment/brews/brew_src7_sel1_to5.pt,brew_src7_sel1_to5,0.20594018697738647,0.5162463784217834,2,dog__horse_vs_deer,layered_anchor_partner_sweep,,,,0.544621467590332,,,,,,,,,,,,,,,,assign_one_owner,assign_one_owner,1,,,,56,944,26
